t,dt,f,v_true
0,0.02,0,0
0.02,0.02,0,0.1962
0.04,0.02,0,0.3924
0.06,0.02,0,0.5886
0.08,0.02,0,0.7848
0.09999999,0.02,0,0.981
0.12,0.02,0,1.1772
0.14,0.02,0,1.3734
0.16,0.02,0,1.5696
0.18,0.02,0,1.7658
0.2,0.02,0,1.962
0.22,0.02,0,2.1582
0.24,0.02,0,2.3544
0.26,0.02,0,2.5506
0.28,0.02,0,2.7468
0.3,0.02,0,2.943
0.32,0.02,0,3.139199
0.34,0.02,0,3.335399
0.36,0.02,0,3.531599
0.38,0.02,0,0.1772825
0.4,0.02,50,0.064991
0.42,0.02,-21.22644,0.8874565
0.44,0.02,50,0.4031502
0.46,0.02,50,1.344115
0.48,0.02,-23.70329,2.285232
0.5,0.02,25.45025,1.752306
0.52,0.02,48.95884,2.202452
0.54,0.02,-2.166191,3.122768
0.56,0.02,39.37326,3.020584
0.58,0.02,1.94555,3.749188
0.6,0.02,-1.598696,3.72924
0.62,0.02,50,3.638406
0.64,0.02,3.738015,4.579546
0.66,0.02,28.21983,4.595448
0.68,0.02,3.038484,5.100982
0.7,0.02,28.27928,5.102891
0.72,0.02,-10.56284,5.609617
0.74,0.02,10.4282,5.339502
0.76,0.02,4.969079,5.489205
0.78,0.02,31.49513,5.529727
0.8,0.02,22.61738,6.100769
0.82,0.02,2.021159,6.494257
0.84,0.02,25.25605,6.475819
0.86,0.02,-6.279543,6.92208
0.88,0.02,26.02319,6.73763
0.9,0.02,24.78315,7.199235
0.92,0.02,6.332246,7.636038
0.94,0.02,28.73921,7.703822
0.96,0.02,-6.771211,8.219748
0.98,0.02,28.46733,8.025463
1,0.02,-5.690639,8.535949
1.02,0.02,28.61301,8.363276
1.04,0.02,9.836611,8.876676
1.06,0.02,13.91533,9.014549
1.08,0.02,15.5724,9.233995
1.1,0.02,-3.320537,9.486584
1.12,0.02,10.11558,9.361315
1.14,0.02,11.9343,9.504764
1.16,0.02,-1.985594,9.684591
1.18,0.02,2.348504,9.586019
1.2,0.02,11.55528,9.574131
1.22,0.02,6.904898,9.746374
1.24,0.02,-0.5860053,9.825613
1.26,0.02,17.46804,9.755033
1.28,0.02,10.09714,10.04553
1.3,0.02,11.22788,10.18862
1.32,0.02,12.53095,10.3543
1.34,0.02,4.092524,10.54607
1.36,0.02,3.771324,10.56906
1.38,0.02,4.613149,10.58563
1.4,0.02,3.094431,10.61903
1.42,0.02,20.72642,10.62206
1.44,0.02,-0.5348309,10.97773
1.46,0.02,21.55521,10.90817
1.48,0.02,3.013107,11.28042
1.5,0.02,20.55112,11.28182
1.52,0.02,13.309,11.63399
1.54,0.02,14.47058,11.8413
1.56,0.02,3.506184,12.07185
1.58,0.02,-0.8724535,12.08312
1.6,0.02,6.148373,12.00681
1.62,0.02,0.5284836,12.07092
1.64,0.02,14.0968,12.02263
1.66,0.02,4.311784,12.2457
1.68,0.02,-4.145973,12.27308
1.7,0.02,-4.72697,12.1313
1.72,0.02,12.26238,11.9779
1.74,0.02,-3.762911,12.16429
